,gamma,epsilon,epsilon_decay,Episode,Steps,Exploration,Exploitation,Terminated,Truncated
0,0.9,0.6899158648955466,0.999,0,402,339,63,True,False
0,0.9,0.5146170632018707,0.999,1,293,165,128,True,False
0,0.9,0.3120529517919121,0.999,2,500,198,302,False,True
0,0.9,0.18922233964839782,0.999,3,500,124,376,False,True
0,0.9,0.11474044266016015,0.999,4,500,77,423,False,True
0,0.9,0.06957618855317316,0.999,5,500,44,456,False,True
0,0.9,0.047286708962080405,0.999,6,386,17,369,True,False
0,0.9,0.028673664686384246,0.999,7,500,24,476,False,True
0,0.9,0.017387106537833076,0.999,8,500,6,494,False,True
0,0.9,0.013785438454084442,0.999,9,232,7,225,True,False
0,0.9,0.009998671593271896,0.999,10,500,5,495,False,True
0,0.9,0.009998671593271896,0.999,11,500,3,497,False,True
0,0.9,0.009998671593271896,0.999,12,500,5,495,False,True
0,0.9,0.009998671593271896,0.999,13,500,2,498,False,True
0,0.9,0.009998671593271896,0.999,14,500,8,492,False,True
0,0.9,0.009998671593271896,0.999,15,500,4,496,False,True
0,0.9,0.009998671593271896,0.999,16,500,3,497,False,True
0,0.9,0.009998671593271896,0.999,17,500,7,493,False,True
0,0.9,0.009998671593271896,0.999,18,500,6,494,False,True
0,0.9,0.009998671593271896,0.999,19,500,3,497,False,True
0,0.9,0.009998671593271896,0.999,20,500,7,493,False,True
0,0.9,0.009998671593271896,0.999,21,451,3,448,True,False
0,0.9,0.009998671593271896,0.999,22,433,7,426,True,False
0,0.9,0.009998671593271896,0.999,23,236,3,233,True,False
0,0.9,0.009998671593271896,0.999,24,331,3,328,True,False
0,0.9,0.009998671593271896,0.999,25,500,8,492,False,True
0,0.9,0.009998671593271896,0.999,26,500,4,496,False,True
0,0.9,0.009998671593271896,0.999,27,232,2,230,True,False
0,0.9,0.009998671593271896,0.999,28,500,3,497,False,True
0,0.9,0.009998671593271896,0.999,29,242,1,241,True,False
0,0.9,0.009998671593271896,0.999,30,500,4,496,False,True
0,0.9,0.009998671593271896,0.999,31,145,2,143,True,False
0,0.9,0.009998671593271896,0.999,32,500,4,496,False,True
0,0.9,0.009998671593271896,0.999,33,500,8,492,False,True
0,0.9,0.009998671593271896,0.999,34,293,3,290,True,False
0,0.9,0.009998671593271896,0.999,35,322,3,319,True,False
0,0.9,0.009998671593271896,0.999,36,487,8,479,True,False
0,0.9,0.009998671593271896,0.999,37,500,7,493,False,True
