,gamma,epsilon,epsilon_decay,Episode,Steps,Exploration,Exploitation,Terminated,Truncated
0,0.99,0.6254807928315229,0.999,1,500,408,92,False,True
0,0.99,0.379278383188116,0.999,2,500,252,248,False,True
0,0.99,0.22998642580626621,0.999,3,500,142,358,False,True
0,0.99,0.13945892621279873,0.999,4,500,107,393,False,True
0,0.99,0.08456495652839072,0.999,5,500,56,444,False,True
0,0.99,0.08190040571973876,0.999,6,32,5,27,True,False
0,0.99,0.049662681604038215,0.999,7,500,33,467,False,True
0,0.99,0.030114404470033673,0.999,8,500,23,477,False,True
0,0.99,0.018260740807661956,0.999,9,500,11,489,False,True
0,0.99,0.011072928743333644,0.999,10,500,7,493,False,True
0,0.99,0.009994493720523166,0.995,11,500,7,493,False,True
0,0.99,0.009994493720523166,0.995,12,500,4,496,False,True
0,0.99,0.009994493720523166,0.995,13,303,1,302,True,False
0,0.99,0.009994493720523166,0.995,14,500,2,498,False,True
0,0.99,0.009994493720523166,0.995,15,380,7,373,True,False
0,0.99,0.009994493720523166,0.995,16,500,5,495,False,True
0,0.99,0.009994493720523166,0.995,17,500,5,495,False,True
0,0.99,0.009994493720523166,0.995,18,96,2,94,True,False
0,0.99,0.009994493720523166,0.995,19,500,4,496,False,True
0,0.99,0.009994493720523166,0.995,20,500,5,495,False,True
0,0.99,0.0095,0.995,21,500,8,492,False,True
0,0.99,0.0095,0.995,22,500,5,495,False,True
0,0.99,0.0095,0.995,23,500,7,493,False,True
0,0.99,0.0095,0.995,24,500,4,496,False,True
0,0.99,0.0095,0.995,25,500,3,497,False,True
0,0.99,0.0095,0.995,26,500,5,495,False,True
0,0.99,0.0095,0.995,27,500,1,499,False,True
0,0.99,0.0095,0.995,28,500,3,497,False,True
0,0.99,0.0095,0.995,29,500,3,497,False,True
0,0.99,0.0095,0.995,30,500,3,497,False,True
0,0.99,0.008,0.995,31,500,8,492,False,True
0,0.99,0.008,0.995,32,500,3,497,False,True
0,0.99,0.008,0.995,33,500,3,497,False,True
0,0.99,0.008,0.995,34,500,9,491,False,True
0,0.99,0.008,0.995,35,500,4,496,False,True
0,0.99,0.008,0.995,36,459,3,456,True,False
0,0.99,0.008,0.995,37,130,0,130,True,False
0,0.99,0.008,0.995,38,287,2,285,True,False
0,0.99,0.008,0.995,39,221,0,221,True,False
0,0.99,0.008,0.995,40,500,7,493,False,True
0,0.99,0.007,0.995,41,62,1,61,True,False
0,0.99,0.007,0.995,42,334,1,333,True,False
0,0.99,0.007,0.995,43,500,4,496,False,True
0,0.99,0.007,0.995,44,500,9,491,False,True
0,0.99,0.007,0.995,45,500,9,491,False,True
0,0.99,0.007,0.995,46,500,3,497,False,True
0,0.99,0.007,0.995,47,258,2,256,True,False
0,0.99,0.007,0.995,48,500,1,499,False,True
0,0.99,0.007,0.995,49,139,1,138,True,False
0,0.99,0.007,0.995,50,500,2,498,False,True
0,0.99,0.006,0.995,51,163,0,163,True,False
0,0.99,0.006,0.995,52,500,3,497,False,True
0,0.99,0.006,0.995,53,500,3,497,False,True
0,0.99,0.006,0.995,54,500,0,500,False,True
0,0.99,0.006,0.995,55,130,3,127,True,False
0,0.99,0.006,0.995,56,92,1,91,True,False
0,0.99,0.006,0.995,57,500,3,497,False,True
0,0.99,0.006,0.995,58,500,2,498,False,True
0,0.99,0.006,0.995,59,500,5,495,False,True
0,0.99,0.006,0.995,60,154,1,153,True,False
0,0.99,0.006,0.996,61,500,2,498,False,True
0,0.99,0.006,0.996,62,500,6,494,False,True
0,0.99,0.006,0.996,63,172,1,171,True,False
0,0.99,0.006,0.996,64,500,1,499,False,True
0,0.99,0.006,0.996,65,467,2,465,True,False
0,0.99,0.006,0.996,66,500,4,496,False,True
0,0.99,0.006,0.996,67,500,4,496,False,True
0,0.99,0.006,0.996,68,500,2,498,False,True
0,0.99,0.006,0.996,69,500,8,492,False,True
0,0.99,0.006,0.996,70,500,5,495,False,True
0,0.99,0.0055,0.996,71,500,0,500,False,True
0,0.99,0.0055,0.996,72,500,3,497,False,True
0,0.99,0.0055,0.996,73,500,2,498,False,True
0,0.99,0.0055,0.996,74,500,3,497,False,True
0,0.99,0.0055,0.996,75,500,3,497,False,True
0,0.99,0.0055,0.996,76,500,3,497,False,True
0,0.99,0.0055,0.996,77,500,3,497,False,True
0,0.99,0.0055,0.996,78,500,2,498,False,True
0,0.99,0.0055,0.996,79,500,4,496,False,True
0,0.99,0.0055,0.996,80,500,7,493,False,True
0,0.99,0.005,0.996,81,500,3,497,False,True
0,0.99,0.005,0.996,82,500,1,499,False,True
0,0.99,0.005,0.996,83,500,4,496,False,True
0,0.99,0.005,0.996,84,43,0,43,True,False
0,0.99,0.005,0.996,85,500,2,498,False,True
0,0.99,0.005,0.996,86,500,2,498,False,True
0,0.99,0.005,0.996,87,184,1,183,True,False
0,0.99,0.005,0.996,88,500,2,498,False,True
0,0.99,0.005,0.996,89,97,0,97,True,False
0,0.99,0.005,0.996,90,500,3,497,False,True
0,0.99,0.0045,0.996,91,500,3,497,False,True
0,0.99,0.0045,0.996,92,500,3,497,False,True
0,0.99,0.0045,0.996,93,105,2,103,True,False
0,0.99,0.0045,0.996,94,117,1,116,True,False
0,0.99,0.0045,0.996,95,500,2,498,False,True
0,0.99,0.0045,0.996,96,75,1,74,True,False
0,0.99,0.0045,0.996,97,500,0,500,False,True
0,0.99,0.0045,0.996,98,500,3,497,False,True
0,0.99,0.0045,0.996,99,500,5,495,False,True
0,0.99,0.0045,0.996,100,83,1,82,True,False
