,gamma,epsilon,epsilon_decay,Episode,Steps,Exploration,Exploitation,Terminated,Truncated
0,0.99,0.6254807928315229,0.999,0,500,391,109,False,True
0,0.99,0.379278383188116,0.999,1,500,256,244,False,True
0,0.99,0.22998642580626621,0.999,2,500,151,349,False,True
0,0.99,0.13945892621279873,0.999,3,500,87,413,False,True
0,0.99,0.08456495652839072,0.999,4,500,49,451,False,True
0,0.99,0.05127840911191761,0.999,5,500,51,449,False,True
0,0.99,0.044176600076762176,0.999,6,149,5,144,True,False
0,0.99,0.026787760142101585,0.999,7,500,14,486,False,True
0,0.99,0.016243533730162046,0.999,8,500,9,491,False,True
0,0.99,0.009998671593271896,0.999,9,500,9,491,False,True
0,0.99,0.009998671593271896,0.999,10,500,8,492,False,True
0,0.99,0.009998671593271896,0.999,11,136,0,136,True,False
0,0.99,0.009998671593271896,0.999,12,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,13,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,14,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,15,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,16,107,3,104,True,False
0,0.99,0.009998671593271896,0.999,17,500,3,497,False,True
0,0.99,0.009998671593271896,0.999,18,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,19,45,0,45,True,False
0,0.99,0.009998671593271896,0.999,20,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,21,500,6,494,False,True
0,0.99,0.009998671593271896,0.999,22,500,3,497,False,True
0,0.99,0.009998671593271896,0.999,23,482,7,475,True,False
0,0.99,0.009998671593271896,0.999,24,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,25,500,6,494,False,True
0,0.99,0.009998671593271896,0.999,26,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,27,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,28,490,5,485,True,False
0,0.99,0.009998671593271896,0.999,29,500,9,491,False,True
0,0.99,0.009998671593271896,0.999,30,500,3,497,False,True
0,0.99,0.009998671593271896,0.999,31,500,1,499,False,True
0,0.99,0.009998671593271896,0.999,32,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,33,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,34,500,3,497,False,True
0,0.99,0.009998671593271896,0.999,35,253,2,251,True,False
0,0.99,0.009998671593271896,0.999,36,371,5,366,True,False
0,0.99,0.009998671593271896,0.999,37,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,38,367,2,365,True,False
0,0.99,0.009998671593271896,0.999,39,143,2,141,True,False
0,0.99,0.009998671593271896,0.999,40,60,0,60,True,False
0,0.99,0.009998671593271896,0.999,41,265,3,262,True,False
0,0.99,0.009998671593271896,0.999,42,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,43,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,44,291,3,288,True,False
0,0.99,0.009998671593271896,0.999,45,204,2,202,True,False
0,0.99,0.009998671593271896,0.999,46,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,47,500,2,498,False,True
0,0.99,0.009998671593271896,0.999,48,500,8,492,False,True
0,0.99,0.009998671593271896,0.999,49,233,4,229,True,False
0,0.99,0.009998671593271896,0.999,50,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,51,500,2,498,False,True
0,0.99,0.009998671593271896,0.999,52,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,53,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,54,500,9,491,False,True
0,0.99,0.009998671593271896,0.999,55,500,8,492,False,True
0,0.99,0.009998671593271896,0.999,56,198,0,198,True,False
0,0.99,0.009998671593271896,0.999,57,500,6,494,False,True
0,0.99,0.009998671593271896,0.999,58,500,3,497,False,True
0,0.99,0.009998671593271896,0.999,59,500,2,498,False,True
0,0.99,0.009998671593271896,0.999,60,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,61,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,62,123,1,122,True,False
0,0.99,0.009998671593271896,0.999,63,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,64,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,65,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,66,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,67,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,68,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,69,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,70,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,71,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,72,500,6,494,False,True
0,0.99,0.009998671593271896,0.999,73,500,6,494,False,True
0,0.99,0.009998671593271896,0.999,74,500,6,494,False,True
0,0.99,0.009998671593271896,0.999,75,500,1,499,False,True
0,0.99,0.009998671593271896,0.999,76,500,9,491,False,True
0,0.99,0.009998671593271896,0.999,77,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,78,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,79,500,1,499,False,True
0,0.99,0.009998671593271896,0.999,80,500,6,494,False,True
0,0.99,0.009998671593271896,0.999,81,500,2,498,False,True
0,0.99,0.009998671593271896,0.999,82,151,2,149,True,False
0,0.99,0.009998671593271896,0.999,83,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,84,500,3,497,False,True
0,0.99,0.009998671593271896,0.999,85,500,3,497,False,True
0,0.99,0.009998671593271896,0.999,86,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,87,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,88,500,6,494,False,True
0,0.99,0.009998671593271896,0.999,89,500,2,498,False,True
0,0.99,0.009998671593271896,0.999,90,500,4,496,False,True
0,0.99,0.009998671593271896,0.999,91,500,9,491,False,True
0,0.99,0.009998671593271896,0.999,92,500,3,497,False,True
0,0.99,0.009998671593271896,0.999,93,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,94,74,1,73,True,False
0,0.99,0.009998671593271896,0.999,95,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,96,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,97,500,7,493,False,True
0,0.99,0.009998671593271896,0.999,98,500,5,495,False,True
0,0.99,0.009998671593271896,0.999,99,500,4,496,False,True
